id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000047621	36.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.83	0.00	0.00
ENSG00000047648	0.00	0.00	3.63	3.98	90.33	0.00	0.00	105.83	1.89	4.06	66.91	16.13	61.37	68.86	64.38	9.49	2.07	0.00	26.51	75.41
ENSG00000048544	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.23	0.00	0.00
ENSG00000049239	5.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000049541	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000050130	37.15	25.83	72.43	22.97	63.54	0.00	1.96	0.00	37.76	18.51	0.00	0.00	19.22	9.11	20.68	0.00	0.00	44.13	20.29	0.00
ENSG00000050393	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00
ENSG00000050405	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00
ENSG00000052723	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000052802	0.00	0.00	8.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.03	0.00	0.00	0.00	0.00	0.00	4.79	0.00	0.00	0.00
ENSG00000053372	0.00	5.79	12.65	0.00	11.32	0.00	0.00	0.00	0.00	0.00	3.78	0.00	6.81	10.46	0.00	13.20	3.60	0.00	0.00	0.00
ENSG00000053501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.43	4.83	0.00	0.00	0.00
ENSG00000053524	0.00	2.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.76	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.00
ENSG00000054654	11.79	36.75	33.03	20.45	3.42	108.79	65.03	0.00	37.70	40.84	45.62	35.85	97.40	62.40	17.33	30.13	65.33	21.92	69.00	15.41
ENSG00000054690	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.82	0.00	2.49	0.00	0.00	0.00	0.00	0.00	0.00	3.91	0.00	0.00	0.00
ENSG00000055332	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.96	0.00	0.00
ENSG00000056972	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00
ENSG00000057019	0.00	0.00	32.15	26.94	0.00	21.76	0.00	0.00	0.00	0.00	0.00	23.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000058668	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00	1.57	3.41	0.00	0.00	0.00
ENSG00000058866	0.00	0.00	0.00	5.57	2.71	0.00	0.00	214.19	25.89	11.14	83.05	6.87	7.72	11.69	14.90	2.49	471.68	573.90	125.74	189.95
ENSG00000059122	0.00	0.00	0.00	2.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000059145	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.84	0.00	0.00	0.00
ENSG00000059588	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98
ENSG00000059691	0.00	0.00	0.00	0.00	0.00	0.00	2.03	0.00	1.09	0.00	0.00	0.00	0.00	3.49	0.00	0.00	0.00	0.00	1.16	0.00
ENSG00000060138	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.66
ENSG00000060339	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.68	0.00
ENSG00000062485	0.00	0.00	0.00	5.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000063322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.32	0.00	2.13	0.00
ENSG00000063854	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.04	0.00	0.00	0.00
ENSG00000064012	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000064607	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	0.00	0.00	0.00
ENSG00000064692	12.48	88.18	57.26	121.98	595.25	100.09	46.98	452.79	0.00	9.95	31.54	4.04	55.39	14.66	15.19	15.79	10.86	144.70	65.80	0.00
ENSG00000064961	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.44	0.00	0.00	0.00	0.00	9.65	0.00	0.00	0.00	0.00	12.84	0.00
ENSG00000065154	0.00	14.71	8.04	4.96	14.37	0.00	0.00	38.10	20.91	33.44	52.81	8.94	17.30	0.00	4.59	25.15	13.72	0.00	4.51	82.81
ENSG00000065413	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000065615	0.00	0.00	0.00	0.90	0.00	0.80	0.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.23
ENSG00000065621	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000065911	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000066044	0.00	0.00	0.00	0.00	13.20	0.00	0.00	9.34	0.00	0.00	13.21	0.00	0.00	18.36	0.00	0.00	0.00	0.00	12.08	0.00
ENSG00000066056	0.00	0.00	0.00	0.00	2.76	2.51	0.00	2.70	0.00	2.37	0.00	0.00	0.00	3.83	2.64	0.00	0.00	0.00	2.60	0.00
ENSG00000066427	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.78	0.00	0.00	3.31	1.25	1.04	1.14	1.20	0.00	0.00
ENSG00000066468	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.21	12.90	0.00	0.00	0.00	0.00
ENSG00000067334	0.00	0.00	3.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	182.36	1.73	2.66	0.00	0.00	0.00	0.00	7.89	0.00
